,Path,Fold,Family,Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID,Dynamics,Dynamics ID,Instance ID,String ID (if applicable),Needed digital retuning
0,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-F#1-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,pp,0,0,,False
1,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G1-pp-N-R100u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,pp,0,0,,True
2,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-G#1-pp-N-T16u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,pp,0,0,,True
3,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A1-pp-N-T23d.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,pp,0,0,,True
4,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-A#1-pp-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,pp,0,0,,False
5,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-B1-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,pp,0,0,,False
6,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C2-pp-N-T13d.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,pp,0,0,,True
7,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-C#2-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,pp,0,0,,False
8,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D2-pp-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,pp,0,0,,True
9,c:\Users\sumen\OneDrive\Desktop\MADHAV_LAB\pipeline_for_data_preparation_and_CNN_training\audios_folder\Brass\Bass_Tuba\ordinario\BTb-ord-D#2-pp-N-T11u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,pp,0,0,,True
